name,description,ingredients,calories,total fat (PDV),sugar (PDV),sodium (PDV),protein (PDV),saturated fat (PDV),carbohydrates (PDV)
mamma mia  ravioli bites,"pretty little pastry shells made from a pillsbury refrigerated crescent dough sheet combine with a basil-cheese filling in these beautiful baked appetizers. recipe is one of the 100 finalists in the 2010 pillsbury bake-off contest, submitted by joann belack.","['crescent roll dough', 'whole milk ricotta cheese', 'mozzarella cheese', 'parmesan cheese', 'fresh basil leaves', 'pepper', 'salt', ""eggland's best large egg"", 'salami', 'sun-dried tomatoes packed in oil']",59.5,4,1,4,5,7,1
marco    polenta,"start with the italian cornmeal classic, polenta, and add the exotic new
flavors of marco polo's journey to the east: chickpeas from anatolia,
spinach from persia, cardamon from india and cinnamon from china. but don't
worry, this recipe doesn't take years to complete! prepared polenta and
canned chickpeas make it easy (and nutritious).","['chickpeas', 'red pepper flakes', 'garlic cloves', 'frozen spinach', 'peanut oil', 'cardamom pods', 'onions', 'ginger', 'cinnamon', 'coriander', 'prepared polenta']",167.3,8,8,11,12,5,8
melanie s  chicken chili,"years ago, i started experimenting with a chicken variety of my mom's old basic chili recipe.    i never, ever make a chili the same way - that's the beauty of it.   just use what you have in your pantry or what you are craving....there's really no way you can go wrong.   every time, i make chili with chicken it is different. for my family & friends who think there is an actual ""melanie's chicken chili recipe"", here's my attempt to finally publish it with approximate ingredients for you.    

feel free to mix it up anyway you please - but my biggest rule is please don't use canned diced chilies in that acidic gross tasting preservative juice - yeah you know what i'm talking about and gross!","['chicken breasts', 'corn', 'black beans', 'pinto beans', 'tomatoes', 'red onion', 'green bell pepper', 'fresh jalapeno peppers', 'serrano pepper', 'chicken stock', 'garlic cloves', 'cornmeal', 'monterey jack cheese', 'olive oil', 'adobo sauce', 'chili powder', 'cayenne powder', 'smoked paprika', 'cumin', 'mexican oregano', 'salt', 'pepper']",126.4,7,7,4,19,6,4
naked  grilled salmon,"when the salmon is fresh here in the nw, nothing beats a simple preparation.","['salmon fillet', 'olive oil', 'garlic cloves', 'cracked black pepper', 'sea salt']",163.9,11,0,3,45,5,0
no sausage     gravy for biscuits and gravy,"so what do you do when you are craving some yummy, comforting biscuits and gravy and there is no breakfast meat to be found?  no sausage, no bacon to provide drippings upon which to build a cream gravy?  no sausage?!?!?  you gain inspiration from 'zaar, of course, and post your delicious results so others don't have to be in the same position.  start your meal by mixing and putting in the oven your favorite recipe for biscuits (mine is recipe #77417).  while the biscuits are baking, whip this up:","['butter', 'flour', 'milk', 'poultry seasoning', 'salt', 'pepper']",145.1,15,0,16,9,32,3
oh boy  waffles,"this is a hearty waffle.  if you like to toast leftover waffles, butter them and then dunk them in chocolate milk this is the waffle for you.  these waffles freeze really well.  i got this recipe out of a better homes and garden all-time favorites magazine(1971) that i got free when i bought a jar of prell shampoo!","['eggs', 'milk', 'oil', 'flour', 'baking powder', 'salt', 'sugar']",183.4,15,5,10,8,11,6
old reliable  french bread  for kitchen aid mixers,"this recipe came with my kitchen aid mixer, and makes two absolutely beautiful loaves of french bread. i misplaced my recipe book and recently found it again, so am adding this recipe to zaar for safe-keeping! make sure you use a very, very sharp knife to make the diagonal slashes. this bread is delicious on its own, for sopping up stew or soup broth, and with your favorite cheeses or toppings. prep time specified includes rising time.","['active dry yeast', 'water', 'salt', 'margarine', 'all-purpose flour', 'cornmeal', 'egg white']",113.5,1,0,10,6,0,7
oopah    feta chicken breasts,"i developed this recipe after seeing one that was similar, but did not have tomatoes, scallions and green pepper in it.  my husband normally does not like feta cheese very much, but really liked the tang it gave this dish.  the dish is as colorful and eye-pleasing as it is tasty.  i hope you enjoy this!","['boneless skinless chicken breasts', 'lemon juice', 'salt', 'black pepper', 'feta cheese', 'green peppers', 'roma tomato', 'scallions', 'fresh parsley']",217.8,14,8,24,58,24,1
please make those meatballs    crockpot meatballs,"my kids, and the neighbourhood kids, are always asking for me to make these...little do they know it is so easy!  i put it together in the morning, or even the night before, and the crockpot does the rest.  i have made bigger and smaller batches...just adjust ingredients accordingly:)  awesome over mashed potatoes or egg noodles.","['frozen meatballs', 'cream of mushroom soup', 'brown gravy mix', 'beef bouillon cube', 'water']",104.1,9,6,45,4,7,3
ritz  y chicken,really yummy!,"['ritz cracker crumbs', 'parmesan cheese', 'garlic powder', 'seasoning salt', 'plain yogurt', 'boneless skinless chicken breast halves']",158.9,4,6,4,58,6,0
sherried  mushroom sauce,this is my favourite mushroom sauce recipe.  its paricularly good as an acompinament to red meat or pork.,"['fresh mushrooms', 'onion', 'garlic clove', 'butter', 'parsley', 'cake flour', 'meat stock', 'dry sherry', 'sour cream', 'salt', 'black pepper']",158.7,14,13,14,9,27,3
sin free  fries,"this is what we used to make when i was on the slimming world plan. they are sin free on a green day. quantity of potatoes and serving size is subjective, just make however much you would normally for the amount of people you are cooking for.","['potato', 'salt', 'non-fat cooking spray']",284.1,0,11,0,14,0,21
skinny  fries,this recipe comes from the new american diet cookbook with some changes by me.  the secret here is to soak the potatoes in ice water for 10 to 15 minutes while the oven is preheating.,"['baking potatoes', 'oil', 'cajun seasoning', 'salt and pepper']",160.2,5,5,0,5,2,10
smells like stuffing  no knead bread,"ran across this recipe a couple of years ago, and just found it again.  it is so delicious, you can make a meal out of it and butter!  (but, of course, i don't advise that!)  i put the rising time in with the bake time!","['all-purpose flour', 'whole wheat flour', 'fast rising yeast', 'sugar', 'dried onion flakes', 'dried parsley', 'sage', 'thyme', 'marjoram', 'pepper', 'rosemary', 'oregano', 'ginger', 'salt', 'water', 'egg', 'celery seed']",188.9,2,9,12,13,1,12
soft as wonder   white bread,"this is my standard loaf of white bread, good for anything.  very soft.  i mix it in the bread machine then bake it in the oven.
as with all my bread, i let it cool and then slice the whole loaf and put in a freezer bag and freeze and then i can take whatever i need out and have fresh bread. this does not include machine and rising time.","['water', 'salt', 'margarine', 'honey', 'all-purpose flour', 'powdered milk', 'sugar', 'bread machine yeast']",162,5,12,9,8,5,9
souped up  veggie dip,"""souper"" fast and easy dip that always gets complimented!
with only 3 ingredients it's impossible to mess up!","['knorr vegetable soup mix', 'sour cream', 'tabasco sauce']",132.7,18,9,16,3,35,1
special  salsa     for parties,"a true indigo! original, this is a creamy dip we started enjoying in our sheltered dorm days, when the going was tough and the cooking implements even tougher.  now that i'm finally out in the real world with a real kitchen (yipppeeeee!) i like making it when i need something salty and spicy to munch on...  great with tortilla chips, hot or cold!  have a ""special"" salsa party by invite only! :)","['salsa', 'cream cheese', 'cheddar cheese', 'jalapenos']",138.1,18,6,18,10,36,1
the gumbo pages  traditional red beans and rice,"this recipe comes from ""the gumbo pages"" and it's the best basic recipe i've come across.  i tweaked it a bit to make it healthier by omitting the smoked meat and substituting liquid smoke and using the turkey sausage.  i have put the traditional notes on the ingredients as well.  it also has a very good vegetarian version i will post.  once you have the basics, you can taste and tweak it to you and your family's tastes as the beans cook down.","['red beans', 'onion', 'bell pepper', 'celery ribs', 'garlic cloves', 'liquid smoke', 'smoked turkey sausage', 'dried thyme leaves', 'bay leaf', 'crystal hot sauce', 'worcestershire sauce', 'creole seasoning', 'salt', 'cooked rice']",179.6,9,13,23,27,7,6
three sisters  stew,i was looking for vegetarian main dishes for thanksgiving and found this one.  i haven't made it yet but it looks delicious.,"['sugar pumpkin', 'olive oil', 'onion', 'garlic cloves', 'green peppers', 'diced tomatoes with juice', 'canned pinto beans', 'corn kernels', 'vegetable stock', 'hot chili pepper', 'ground cumin', 'dried oregano', 'salt & freshly ground black pepper', 'fresh cilantro']",212.1,6,12,13,16,3,13
vodka still works,these are billed as a great alternative to a bloody mary especially for brunches.  i saw them served on rr - and am looking forward to making them!  sound refreshing if you like the ingredients and are looking for fun new cocktails to serve for new years!!,"['angostura bitters', 'vodka', 'ginger beer']",208.1,0,0,0,0,0,0
wish i made more  yeast potato lem orange rolls,"these are the fluffiest & yummiest rolls! you will think you are in heaven! they contain potato, lemon zest and orange juice! i make a double batch of these every year at thanksgiving time. we eat them at the ""feast"" and then we eat them all week with the leftovers! then they are gone and we have to wait for more next thanksgiving!","['milk', 'butter', 'sugar', 'salt', 'potato', 'orange juice', 'lemon zest', 'active dry yeast', 'warm water', 'flour', 'eggs']",68.9,2,6,2,3,4,3
you won t believe they are baked  chicken fingers,"i always love to find recipes that are low in fat and that taste just as good as the deep fried version. so crunchy, yummy and good for you. these are from bonnie stern's cookbook, simply heartsmart.","['vegetable oil', 'boneless skinless chicken breast', 'yogurt', 'ketchup', 'dijon mustard', 'worcestershire sauce', 'pepper', 'corn flake crumbs']",200.3,6,12,9,55,5,3
57 chevy,from lisashea,"['bourbon', 'grand marnier', 'vodka', 'pineapple juice']",157.7,0,0,0,0,0,0
57 chevy  alcoholic drink,from the book sex on the beach and other wild drinks.,"['white creme de cacao', 'vodka', 'ice']",69.4,0,0,0,0,0,0
chicken  and lime soup  vegan,"jalape帽os and lime complement each other perfectly in this spicy mexican classic. this recipe is from vegcooking.com
i'm not really big on the meat replacement products so sometimes i leave it out or substitute portabello mushrooms or something similiar to that.
*for a spicier soup, use 2 peppers and 1/4 cup hot sauce .","['olive oil', 'white onion', 'garlic cloves', 'serrano peppers', 'vegetable stock', 'vegan chicken', 'tomatoes', 'green chili sauce', 'lime juice', 'black pepper', 'cayenne pepper', 'cilantro', 'corn tortillas']",115.8,6,11,0,5,3,6
clean out the fridge  soup,"you can adapt this basic recipe to use ingredients in your fridge and pantry. try single flavours or combinations to make anything from vegetable broth to hearty lentil, chicken or thick creamy soup. as this soup is quick-cooking, use tender cuts of meat. steaks and chops, with bones removed, are suitable to slice and add to soup. chopped cooked beef, pork or chicken can be used, too.","['oil', 'onion', 'garlic', 'chicken', 'vegetables', 'stock', 'penne pasta', 'salt and pepper', 'herbs', 'red sweet pepper', 'dried herbs', 'worcestershire sauce', 'soy sauce', 'chili sauce', 'tomato paste', 'creamed corn']",204.2,15,7,1,22,12,5
denny s  vegetable beef barley soup,this easy to make soup is very close to the vegetable beef barley soup they serve at denny's.,"['ground beef', 'frozen mixed vegetables', 'barley', 'beef broth', 'tomatoes']",244.5,17,10,75,39,17,5
lighter  hamburger stroganoff,i love stroganoff and this is one i can eat without feeling too guilty.,"['lean ground beef', 'butter', 'wine', 'onion', 'mushrooms', 'flour', 'fat-free chicken broth', 'nonfat sour cream', 'no yolks egg noodle substitute']",215.9,13,18,15,37,19,4
lite  stuffed mushrooms,"this is a good appetizer to serve when you are watching calories. leave out the jalapeno & garlic, if you wish they are good even without them.  try using a portabello and if you can find them black garlic. - wonderful flavor. black garlic are from korea and are fermented in a special process - very mellow flavor","['mushrooms', '2% fat cottage cheese', 'jalapeno pepper', 'garlic cloves', 'cayenne pepper']",37.2,1,5,3,10,1,1
neezy peazy lunch,"this is a great meal eaten the same day ,but even better the next day , if you can wait! add your favourite spices, but try it first as it is and i think that you will enjoy the 'vegetable' taste. good for freezing.","['onion', 'olive oil', 'frozen peas and carrot', 'water', 'diced tomatoes', 'salt and pepper']",195.5,7,17,17,18,3,11
nilla wafer martini,instead of serving banana pudding with vanilla wafers just skip the bananas and serve this martini for dessert.,"['amaretto', 'vanilla vodka']",96.3,0,0,0,0,0,0
sin amon brown sugar oatmeal,"nope, no sin to eat this oatmeal... just tastes like it.","['water', 'ground cinnamon', 'vanilla extract', 'splenda brown sugar blend', ""i can't believe it's not butter spread"", 'rolled oats']",178.3,4,10,0,10,2,10
so simple  cauliflower mash,a tasty twist on cauliflower; can even be substituted for potatoes.  delicious and nutritious.  from the kitchens of kraft.,"['cauliflower florets', 'ranch salad dressing', 'green onion', 'salt and pepper']",83.4,8,14,5,5,4,2
tomokra   stewed tomatoes and okra,a delicious southern dish. sometimes i add a little turkey bacon to it for flavor.,"['onion', 'fresh okra', 'diced tomatoes', 'tomato sauce', 'garlic', 'basil']",47.6,0,17,6,5,0,3
terribly impressive   chorizo puffs,"this is a jill dupleix recipe for little puffs of yumminess. make these as really irresistable appetisers, or for a swanky cocktail party. you make this choux pastry in a food processor, and you can use whatever spicy sausage you prefer..too easy!","['chorizo sausages', 'olive oil', 'water', 'butter', 'salt', 'plain flour', 'eggs']",72.5,7,0,6,5,10,1
bread machine  2 lb  traditional white bread,this is great bread for making toast and dunking in coffee. it is also great for making french toast.,"['water', 'canola oil', 'salt', 'bread flour', 'sugar', 'active dry yeast']",182.9,4,8,14,9,1,11
lighter  lamb moussaka,"i don't think this recipe is as good as some moussaka but if is lighter than most recipes and still tasty. six ounces of ground lamb serves 6 persons, not bad.","['eggplant', 'beef broth', 'onion', 'garlic cloves', 'ground lamb', 'reduced-fat feta cheese', 'fresh parsley', 'of fresh mint', 'margarine', 'flour', 'skim milk', 'reduced-sodium beef broth']",162.2,13,13,5,17,16,4
make ahead  flaky sausage foldovers,"these flaky sausage foldovers can be made ahead of time, making them great for parties.","['hot pork sausage', 'garlic powder', 'pizza sauce', 'refrigerated pie crusts', 'egg']",138.8,12,4,7,6,14,4
never fail  fish   chips,"this is the absolute best fish & chips recipe i have ever used!
the batter is crispy, light, and flavorful and the fries are fantastic (the fries are emeril lagasses' recipe)","['fish', 'flour', 'oil', 'milk', 'butter', 'active dry yeast', 'sugar', 'bread flour', 'lemon juice', 'cornstarch', 'salt', 'pepper', 'cayenne', 'chili powder', 'celery salt', 'onion powder', 'garlic powder', 'potatoes']",172.2,7,4,2,8,14,9
not  meatballs,meatball substitute for vegetarians. i wrote this recipe yesterday and have not made it yet.,"['ground meat substitute', 'minced garlic cloves', 'milk', 'parmesan cheese', 'egg', 'basil', 'oregano', 'parsley', 'caraway seed', 'fennel seed', 'breadcrumbs', 'pine nuts']",95.6,6,3,6,11,8,3
paki  garam masala,"authentic northern indian garam masala.  while each family seems to have their own personal blend, the ones i've seen on zaar are highly questionable, so i felt the need to post my own. this is in the punjabi style as taught to me by the owner of a pakistani restaurant. all spices are whole unless otherwise specified and can be found at your local indian market.","['black peppercorns', 'bay leaf', 'star anise', 'black cumin', 'cumin', 'green cardamoms', 'black cardamom pod', 'coriander', 'mace', 'fennel', 'ground red chili pepper', 'ground turmeric', 'cinnamon', 'clove']",38.1,3,0,0,1,2,1
panera bread  black bean soup,"this is my own version of panera bread's black bean soup. it tastes a lot like it, and i love it! use vegetable stock to make it vegetarian.","['onion', 'garlic cloves', 'celery ribs', 'red bell pepper', 'chicken bouillon cubes', 'boiling water', 'black beans', 'salt', 'cumin', 'lemon, juice of', 'cornstarch']",241.4,1,9,32,29,1,14
relatively  healthy oatmeal scones,"after finding an old scone recipe in the crevices of my kitchen, i experimented a little and it turned into a low fat--but still delicious!--treat, great for breakfast, snacks, or afternoon tea. 

these are best warm, split in half and spread  with jam, preserves, butter, and/or clotted cream. also great with a hot cup of tea. =)","['wheat flour', 'old fashioned oats', 'granulated sugar', 'baking powder', 'baking soda', 'salt', 'dried fruit', 'light butter', 'buttermilk', 'half-and-half', 'vanilla extract', 'sugar']",153.8,7,18,8,8,13,7
spicy  pasta fagioli,"saw this in a 2009 issue of family circle.  i tweaked it a bit to suit our taste, and dh was very happy with the results.  it's really easy to make and is ready in no time. the capicola gives it quite a bit of a kick--that's why i've tagged it (spicy)--so i would go easy on the pepper until you taste test.   if you you try it, i hope you enjoy it.","['olive oil', 'garlic cloves', 'tomato sauce', 'water', 'chicken broth', 'diced tomatoes', 'italian seasoning', 'ditalini', 'carrots', 'cannellini beans', 'capicola', 'salt and pepper', 'parmesan cheese']",216.2,3,18,21,23,2,12
surprise   russian tea cakes,a sweet surprise awaits those who bite into this adaptation of russian teacakes.  from the 1971 betty crocker recipe card library.  posting for zwt3,"['butter', ""confectioners' sugar"", 'all-purpose flour', 'vanilla', 'salt', 'nuts', 'vanilla caramels']",101.4,9,13,2,2,17,3
t w a  meatballs for spaghetti,"great meatballs to go with any spaghetti sauce. make these as large or as small as you like.  my family has been making this recipe for over 45 years and my sons often request spaghetti and meatballs for their birthdays.
i always make a double batch and freeze in portions for future quick use.","['ground chuck', 'fresh breadcrumb', 'garlic clove', 'onion', 'fresh parsley', 'sweet basil', 'salt', 'black pepper', 'water', 'parmesan cheese']",161.1,14,3,17,22,20,2
un refried beans,from the blog "food for laughter" - http://foodforlaughter.blogspot.com/2008/07/five-pound-bag-of-pinto-beans-part-1.html,"['dried pinto beans', 'olive oil', 'onions', 'chili powder', 'cumin', 'salt', 'cayenne powder', 'oregano', 'water', 'vegetable bouillon granules']",266.1,5,12,17,28,2,15
copycat   costa vida ranch salad dressing,"i'm mostly posting this here so i don't lose it again but this is really, really good dressing.  i think there's a bunch of costa vida resturants out west but i went to the one in portland, me and am now hooked!","['tomatillos', 'lime juice', 'cilantro', 'scallions', 'garlic cloves', 'salt', 'buttermilk', 'mayonnaise', 'sour cream', 'ranch dressing mix', 'cayenne pepper', 'jalapeno']",81.2,9,9,6,2,9,1
minestrone salad,"perfect for cookouts, grilling, potlucks and more! there are others with the same name on the site but the ingredients are different in this one from pillsbury get togethers magazine. this one is fresh and light and can be a meal or a side dish. it is served cold so it can be made ahead and carted to wherever it needs to go. the pepperoni adds a punch of protein and color along with the red kidney beans. any medium pasta works but the farfalle makes a great presentation. enjoy! chefdlh","['bow tie pasta', 'red kidney beans', 'pepperoni', 'italian plum tomatoes', 'green pepper', 'parsley', 'parmesan cheese', 'pepper', 'italian dressing']",219.2,16,11,15,14,13,7
baked mozzarella sticks,tasty & easy finger food for anytime of the day!!,"['mozzarella string cheese', 'all-purpose flour', 'cornstarch', 'egg whites', 'water', 'breadcrumbs', 'dried oregano', 'salt', 'butter', 'marinara sauce']",162.6,9,4,15,17,18,5
tasty s    hidden mickey surprise snack,"mommy discovered this little trick last year: if you cut into a bell pepper, you may find a mickey mouse! but, sometimes the shapes look like other things: a flower, a camel, crater lake, etc. that's the surprise! finding the hidden mickey in a bell pepper!","['bell pepper', 'ranch dressing', 'salt and pepper', 'honey mustard', 'balsamic vinegar']",23.8,0,11,0,2,0,1
tasty dish s      not so hot  pumpkin pie steamer for 2,"--tasty dish-- last week requested  a ""pumpkin steamer"" and i quickly threw this together. success, yay! note: this recipe will also work with rice milk, soy, almond milk, etc. if you want to go the dairy-free route. skip the honey for a vegan version and use another alternate sugar. happy thanksgiving!","['milk', 'pumpkin pie spice', 'sugar', 'pure vanilla extract', 'cinnamon sticks', 'nutmeg']",118.3,10,0,3,12,20,2
tasty s    the power of flower7 salad,"--tasty-- and i collaborated on this colorful spring/summer salad today! there are as many variations of the salad as there are vegetables, fruits and herbs! use a light vinaigrette of your choice to complete the recipe. read *note below in the directions. --tasty dish-- would like to dedicate this recipe to flower7.","['baby spinach leaves', 'green onions', 'bell peppers', 'black olives', 'chive blossoms', 'strawberries', 'green peas', 'mint leaf', 'vinaigrette']",28.2,0,8,1,3,0,1
tasty   approved golden quesadillas,"you know when cheese has gone from that melted stage to that yummy, golden crusty stage? for this quesadilla recipe, you can use mild, medium or sharp cheese, monterey jack, parmesan, etc. corn tortillas can be used in place of the flour tortillas if you wish.!feliz cumpleanos, td! local recipe.","['cheese', 'flour tortilla']",218.2,17,2,23,19,31,6
baked potato   baked  microwaved or grilled,"this is a basic recipe for a baked potato with 3 ways of preparation that being baking, microwaving or grilling. it can be made for one, two, three or four potatoes or more. a better homes recipe that has been around for years and has been tested over time. add your favorite toppings and enjoy!
chefdlh","['baking potatoes', 'aluminum foil', 'butter', 'oil', 'shortening', 'margarine', 'sour cream', 'bacon', 'chives']",118.3,0,4,0,5,0,9
from stephanie s kitchen,mini cheddar and bacon frittatas,"['eggs', 'milk', 'fresh parsley', 'cheddar cheese', 'parmesan cheese', 'cooked bacon']",97.5,10,1,8,14,16,0
0 point soup  crock pot,served by itself is a 0 point meal or with sandwiches for supper or lunch for a more filling meal is still relatively "safe" as far a point wise.,"['spinach', 'carrots', 'celery ribs', 'onion', 'garlic clove', 'vegetable broth', 'tomatoes', 'bay leaves', 'basil', 'oregano', 'red pepper flakes']",40.7,0,17,2,4,0,2
0 point soup   ww,another 0 point soup -- just clock full of veggies! i don't eat this as snacks (as i know some people do) but rather as for dinner with sandwiches. this freezes wonderfully in small tupperware containers -- which is great to bring to work and heat up in the micro. recipe source: www.weightwatchers.com,"['garlic cloves', 'onion', 'carrots', 'red bell pepper', 'zucchini', 'cabbage', 'swiss chard', 'broccoli', 'thyme', 'vegetable broth', 'parsley', 'salt', 'pepper', 'lemon juice']",26.8,0,11,5,2,0,1
1 2 3 banana split ice cream cake,"this cake comes out so moist and dense, you won't believe it!  the combinations are endless, just use your imagination.  thanks for the recipe mrs. kathleen!","['strawberry cake mix', 'pineapple sherbet', 'bananas', 'eggs']",43,2,12,0,4,2,1
1 minute chili cheese burritos,"i really like fast food chili cheese burritos (i know, scary), but these are even faster and taste just the same! literally 1 minute to make too! well not quite, but really close! excellent late night snack! also, the beauty of this recipe is that there isn't really a recipe, make it how hot you want, however many you want, etc.!","['fat-free refried beans', 'hot taco sauce', 'taco cheese', 'flour tortillas']",129.4,3,3,16,9,3,7
1 point plus   hg s faux fried pickles,"from hungry girl email.
per serving (10 pickle chips): 40 cal, .5g fat, 10g carbs,  2g fiber, 2g protein","['all-bran cereal', 'panko breadcrumbs', 'ranch dressing mix', 'black pepper', 'cayenne pepper', 'dill pickle slices', 'liquid egg substitute', 'thousand island dressing']",46,0,8,28,6,0,2
1 point plus   roasted asparagus with lemon and chives,"from ww all time favorites.
per serving (4-6 spears): 37 cal, 3g fat, 3g carb, 1g fiber, 2g protein","['asparagus', 'olive oil', 'salt', 'pepper', 'lemon juice', 'chives']",46.3,3,6,6,5,1,1
1 potato 2 potato,"we created this recipe for when the family is divided on how they want potatoes with their meal. fried, mashed, and twice baked all in one!  it looks great for company too.","['mashed potatoes', 'sour cream', 'cheddar cheese', 'garlic cloves', 'salt and black pepper', 'frozen potato wedges', 'bacon', 'green onions', 'parmesan cheese']",173.9,15,9,15,10,28,5
1 turkey meatloaf  with sun dried tomatoes and feta,"this is deliscious! i really don't care for meatloaf but my dh and 3 sons love it, so i came up with this healthy recipe. i am all about the flavor and this recipe is a very creative combination of flavors, very gourmet!
(don't bother with the store bought can, leave a piece of bread on the counter for a few hours covered with a paper towel, then crumble.)","['plain breadcrumbs', 'fresh flat-leaf parsley', 'sun-dried tomato', 'garlic cloves', 'eggs', 'whole milk', 'feta', 'kosher salt', 'fresh ground black pepper', 'ground turkey']",218.2,17,9,26,37,21,3
1 2 3 black bean salsa dip,"this dip is as easy as uno, dos, tres! serve with sturdy tortilla chips. we like tostitos gold.","['black beans', 'green chilies', 'thick & chunky salsa', 'cumin']",87.5,0,9,10,11,0,5
1 2 3 enchiladas,this is the best recipe for quick enchiladas that people devour when i make it. it is easy and uses stuff you already have in your house. i like to use 2 cans of chili. i got this recipe off the http://www.eversave.com/eversave/consumers/recipe.jsp website.,"['chili without beans', 'corn tortillas', 'diced onion', 'ground turkey', 'cheddar cheese', 'tomato sauce']",195.9,14,5,14,26,22,4
1 2 3 ground turkey mexican rice,"i found this years ago in a magazine and have been making it since. its very easy, and healthy. serve on tortillas with sour cream and shredded cheese, or eat right out of a bowl.","['mexican rice', 'black beans', 'mexicorn', 'lean ground turkey']",214.9,9,0,8,41,8,6
1 2 3 hash browns pie   k,"this is an excellent brunch idea.  you could make this in a pie pan or a sq 9x9 pan. super fast,and super tasty!","['frozen hash brown potatoes', 'mozzarella cheese', 'mushrooms', 'frozen broccoli florets', 'eggs', 'milk', 'dried thyme', 'onion powder', 'pepper']",192,13,7,8,25,19,5
1 dish italian 5 cheese pizza bake,a quick recipe with only 20 minutes preparation using fleishchmann's rapid rise yeast!,"['cooking spray', 'all-purpose flour', 'fast rising yeast', 'sugar', 'salt', 'water', 'olive oil', 'pizza sauce', 'fresh mozzarella cheese', 'five cheese blend', 'italian herb seasoning']",257,14,14,17,18,16,10
1 hour  smoky ham and lentil soup,"this soup is the best!  my mom owns a catering business and her chef makes this for the cafe.  flavorful and hearty, even has a bit of a kick to it.  serve with warm crusty bread...a great meal on a fall/winter day.","['dry lentils', 'smoked ham', 'water', 'ham soup base', 'celery', 'onion', 'carrot', 'cider vinegar', 'worcestershire sauce', 'oregano flakes', 'salt', 'ground black pepper', 'tabasco sauce', 'liquid smoke']",172.3,3,7,19,26,3,8
1 5 quart crock pot risotto,"i made this a very simple recipe, and then each person added butter or grated parmesan to their liking.","['arborio rice', 'chicken stock', 'onion']",249.6,3,13,10,15,3,15
10 bean soup,"yes, another soup recipe!  we really love a hot bowl of soup on a cold winter day for lunch.  the challenge is keeping it low fat and healthy.  this bean soup is fantastic!  it makes alot and it freezes well.  you can really use any favorite bean mixture (dry) or use your own!  i buy the 10 bean mix in bulk at a local grocery store.  it also has some pearl barley thrown in there too!","['10 bean soup mix', 'fat-free low-sodium chicken broth', 'vegetable broth', 'water', 'diced tomatoes', 'canola oil', 'salt', 'pepper', 'onion', 'carrots', 'celery ribs', 'garlic cloves', 'frozen green beans', 'frozen corn']",63.1,3,10,11,6,1,3
10 minute cream of mushroom soup,"this is extremely quick and easy, great for work days. add some bread and you're all set! source: www.","['mushrooms', 'water', 'butter', 'onion', 'all-purpose flour', 'seasoning salt', 'evaporated milk']",222.5,19,9,5,19,38,6
10 minute creamed spinach,this is a quick short-cut recipe that i thought tasted great. i loved creamed spinach and am ridiculed by my kids because they think it is gross. i think it is totally yummy so the joke is on them.,"['cream of spinach soup mix', 'milk', 'frozen chopped spinach', 'nutmeg', 'pepper']",86.5,5,5,5,15,9,3
10 minute french bread,yummy fast bread. we like it without taking all the time to rise. try it.,"['bread flour', 'fast rise yeast', 'sugar', 'kosher salt', 'olive oil', 'hot water']",170.3,2,6,13,11,1,11
10 minute pizza snacks,my kids are always thrilled when they come home from school and i have this snack ready,"['crescent roll dough', 'cream cheese', 'italian seasoning', 'pepperoni', 'cheddar cheese']",181.8,17,4,13,14,30,4
10 minute tomato sauce from america s test kitchen,"fresh tasting pasta sauce using canned crushed tomatoes as described on america's test kitchens. use either muir glenn or tuttoroso crushed tomatoes because they use a lower processing temperature in the canning process and therefore are fresher tasting than other brands.  recipe notes:  according to the chefs, grating the onions instead of chopping allows them to carmelize more quickly. the butter is used because saturated fats helps the onions stay sweet. olive oil contains  unsaturated fats that react with an enzyme in the onion that can result in a bitter taste. using crushed tomatoes is preferable to other forms. the chefs apparently expended a great deal of effort in developing this simple recipe so it is suggested that it be followed closely in order to acheive a fresh tasting sauce from canned tomatoes.","['onion', 'butter', 'dried oregano', 'salt', 'garlic cloves', 'crushed tomatoes', 'sugar', 'olive oil', 'fresh basil']",152,14,2,25,7,21,5
10 minute tvp tacos,"a jolinda hackett recipe.his recipe uses store-bought salsa and taco seasoning to make a super-quick vegetarian taco filling from tvp. the tvp has a texture similar to shredded chicken when cooked. wrap in a flour tortilla or stuff in a hard shell with lettuce, tomatoes, avocado, and green onions.","['textured vegetable protein', 'water', 'soy sauce', 'olive oil', 'taco seasoning', 'red pepper', 'salsa', 'flour tortillas']",38.1,4,5,21,1,1,1
10 10 10 bread,"this is also known as pan bread.  this bread is excellent, and we make it if we are having soup(instead of crackers), or if we are having a salad as a meal.  it is also a thin bread, so it is great for dipping in dips.  hope you enjoy.","['warm water', 'sugar', 'yeast', 'oil', 'salt', 'flour', 'spices']",207.1,6,2,12,10,2,12
10 grain orange bread,"this bread is terrific for sandwiches. its slight sweetness and hint of orange marries well with turkey, particularly if you鈥檙e one of the people who loves turkey sandwiches with a dollop of cranberry sauce in the filling.","['water', 'whole grain breakfast cereal', 'active dry yeast', 'salt', 'oil', 'eggs', 'orange rind', 'unbleached all-purpose flour']",170,5,0,14,9,3,9
10 minute pork lo mein,from betty crocker's kitchen to your table in a flash!,"['vegetable oil', 'pork tenderloin', 'pork-flavored ramen noodles', 'water', 'red bell pepper', 'broccoli floret', 'green onions', 'fresh parsley', 'soy sauce']",154.2,10,6,12,38,7,1
